hotel_name,pca_pc1,pca_pc2,var_ratio_pc1,var_ratio_pc2
NİL HOTEL,-2.2204460492503132e-17,-4.9960036108132046e-17,0.18033588930209915,0.1278668917345754
Server Apart Hotel,0.0,-4.85722573273506e-17,0.15649068514024683,0.1321408880311319
Menteşede Oteller | Karya Apart Otel,-5.551115123125783e-18,-9.43689570931383e-17,0.18884533475654622,0.1491444322358456
Hotel Yalçın,0.0,0.0,0.16657552670353942,0.13507506945358544
Lacivert Otel Akyaka,9.020562075079397e-18,4.4408920985006264e-17,0.21495067920628225,0.1863374325657295
İzethan Hotel,7.216449660063518e-17,-6.661338147750939e-17,0.1603704212871828,0.13914011680554308
YAKABÜK TİNY HOUSE PANSİYON,3.3306690738754695e-17,4.9960036108132046e-17,0.23284301564052762,0.20841040086630025
Fabric Otel Akyaka,2.2204460492503132e-17,-2.3592239273284576e-17,0.23082626354981572,0.18153867099659332
HAFIZOĞLU OTEL,1.6653345369377348e-16,8.326672684688677e-17,1.0,2.0886626631653193e-32
Akyaka Azmak Apart,-4.4408920985006264e-17,-2.151057110211241e-17,0.14971809943552136,0.12186601533777651
Tuncer Otel,-2.2204460492503132e-17,1.27675647831893e-16,0.23322614467639688,0.22507133927864081
Gokturk Otel,-6.661338147750939e-17,5.551115123125783e-18,0.13838282322711318,0.12424038033367495
Yenice Vadi,-1.0408340855860843e-17,2.6367796834847467e-17,0.1380812313347398,0.12859990090312648
Yakabük Otel & Restaurant,-3.8857805861880476e-17,1.1102230246251566e-17,0.21280229818171498,0.19268061084053567
Ersöz Butik Otel,-4.4408920985006264e-17,-2.2204460492503132e-17,0.2083692200658367,0.2000503425597904
Göktürk Butik Otel,8.326672684688674e-17,-8.326672684688674e-17,0.7663402818245866,0.12889142302601622
Mira Apart,-5.551115123125783e-17,2.914335439641036e-17,0.22937926965291966,0.20050196144042515
Lena Apart,8.881784197001253e-17,6.106226635438361e-17,0.21758325650561608,0.20269303950362155
Feron Otel,-3.3306690738754695e-17,8.326672684688674e-18,0.21859646433129512,0.20116851768273916
Marina Port Otel Akyaka,-1.1102230246251566e-17,-2.2204460492503132e-17,0.2133882448973907,0.17485580770214762
Acar Pansiyon,4.4408920985006264e-17,-1.5265566588595904e-17,0.22984985993164733,0.1999999308163451
Cumba Apart,3.8857805861880476e-17,-3.8857805861880476e-17,0.2313759549774014,0.17890192572187005
Limon Otel,-7.771561172376095e-17,-5.2735593669694933e-17,0.1889873968818111,0.13435475664781424
KÖRFEZ OTEL & RESTAURANT,1.0547118733938987e-16,7.494005416219807e-17,0.2616006940145948,0.21685358755030082
Gaye Apart Hotel,9.43689570931383e-17,2.7755575615628914e-17,0.13392575739386758,0.12303429987760607
Dedeoğlu Apart,5.551115123125783e-17,1.3877787807814457e-16,0.25364357400460324,0.22997575200477544
MERKEZ APART PANSİYON,1.6653345369377347e-17,-3.3306690738754695e-17,0.1923776760806439,0.17290904955784164
Berlin Apart pansiyo,-1.304512053934559e-16,6.661338147750939e-17,0.1521418849394398,0.12929153535521462
Akyaka Apart Konaklama,4.9960036108132046e-17,1.1102230246251566e-17,0.2265857384970598,0.20829108791205245
Yener Apart,1.8041124150158794e-17,-2.2204460492503132e-17,0.22784243027006865,0.19769648520850758
Akyaka Yeşil Apart,2.2204460492503132e-17,-2.0816681711721684e-18,0.20282248439049524,0.144935855464667
Dinlen Apart Otel,2.7755575615628914e-17,8.210209988395744e-17,1.0,5.50034263441165e-32
Akyaka Tatil Apart,2.2204460492503132e-17,-1.6653345369377347e-17,0.1416439680618083,0.1320676628870704
Akyaka Apart Pansiyon,4.85722573273506e-17,-9.992007221626409e-17,0.21492105669971143,0.18931556966289256
Yeni sıtar apart,4.9960036108132046e-17,3.3306690738754695e-17,0.272484657137287,0.19288251083662997
Renklice Apart Evler,-6.661338147750939e-17,1.6653345369377347e-17,0.24693425771028008,0.23027532619486482
Akyaka apart mera,-3.469446951953614e-17,-5.551115123125783e-17,0.21402456181679588,0.19297152139899607
Sezgin Apart,8.326672684688674e-17,6.87791060272024e-17,1.0,2.5764937397197753e-32
Ceylan Apart,-6.106226635438361e-17,-1.9428902930940238e-17,0.23257162234613732,0.19887209988460416
Akyaka Özgem Apart Otel,0.0,-1.3877787807814458e-18,0.21478530963494502,0.18990695310944952
Esen Apart,5.551115123125783e-18,-1.3322676295501878e-16,0.2389446724466418,0.168027131075957
Can Apart ( Akyaka ),7.771561172376095e-17,3.3306690738754695e-17,0.23637941525681988,0.20162419589795322
İnci Apart,-5.551115123125783e-17,2.2204460492503132e-17,0.20586446613811807,0.1723704899433012
Gökova Şemkin Apart,-5.412337245047638e-17,-1.8041124150158794e-17,0.23300963288624757,0.21829800155435783
Palmiye Apart Otel,2.2204460492503132e-17,2.2204460492503132e-17,0.21654373517832493,0.18457857607188002
Uğurevler Apart,0.0,-2.2204460492503132e-17,0.2518137240847153,0.20730789497085286
Mevsim Apart - Akyaka Apart,4.163336342344337e-17,-1.0547118733938987e-16,0.21677055799047767,0.19960483961778802
