hotel_name,topic_id,sentiment_score,avg_sentiment_label
Huzur Apart Otel,2,1.0,positive
Huzur Han Otel,0,1.0,positive
Huzur Han Otel,1,1.0,positive
Huzur Han Otel,2,1.0,positive
Keramos Pansiyon Akyaka,2,1.0,positive
Kerme Ottoman Gökova,0,1.0,positive
Kerme Ottoman Gökova,1,1.0,positive
Kerme Ottoman Gökova,2,1.0,positive
Kerme Ottoman Palace,0,1.0,positive
Kerme Ottoman Palace,1,1.0,positive
Kerme Ottoman Palace,2,1.0,positive
Kiraz Cicegi Butik Otel Akyaka,0,1.0,positive
Kiraz Cicegi Butik Otel Akyaka,2,1.0,positive
Koparan Apart,0,1.0,positive
Koparan Apart,1,1.0,positive
Koparan Apart,2,1.0,positive
Kordon Otel & Apart Akyaka Ula Muğla,1,1.0,positive
Kordon Otel & Apart Akyaka Ula Muğla,2,1.0,positive
KÖRFEZ OTEL & RESTAURANT,0,1.0,positive
KÖRFEZ OTEL & RESTAURANT,1,1.0,positive
KÖRFEZ OTEL & RESTAURANT,2,1.0,positive
Lacivert Otel Akyaka,0,1.0,positive
Lacivert Otel Akyaka,1,1.0,positive
Lacivert Otel Akyaka,2,1.0,positive
Lena Apart,0,1.0,positive
Lena Apart,2,1.0,positive
Limon Apart,0,1.0,positive
Limon Apart,1,1.0,positive
Limon Apart,2,1.0,positive
Limon Otel,0,1.0,positive
Limon Otel,1,1.0,positive
Limon Otel,2,1.0,positive
Liya Boutique Hotel & Suites / Villa Yonca,1,1.0,positive
Liya Boutique Hotel & Suites / Villa Yonca,2,1.0,positive
MERKEZ APART PANSİYON,0,1.0,positive
MERKEZ APART PANSİYON,1,1.0,positive
MERKEZ APART PANSİYON,2,1.0,positive
MSKÜ Akyaka Uygulama Oteli,0,1.0,positive
MSKÜ Akyaka Uygulama Oteli,1,1.0,positive
MSKÜ Akyaka Uygulama Oteli,2,1.0,positive
Marina Port Otel Akyaka,0,1.0,positive
Marina Port Otel Akyaka,1,1.0,positive
Marina Port Otel Akyaka,2,1.0,positive
Meltem Hanım Konağı butik otel ve Restoran,0,1.0,positive
Meltem Hanım Konağı butik otel ve Restoran,1,1.0,positive
Meltem Hanım Konağı butik otel ve Restoran,2,1.0,positive
Menteşede Oteller | Karya Apart Otel,0,1.0,positive
Menteşede Oteller | Karya Apart Otel,1,1.0,positive
Menteşede Oteller | Karya Apart Otel,2,1.0,positive
Mercan Apart Akyaka,0,1.0,positive
Mercan Apart Akyaka,1,1.0,positive
Mercan Apart Akyaka,2,1.0,positive
Merve Han Residence Hotel,0,1.0,positive
Merve Han Residence Hotel,1,1.0,positive
Merve Han Residence Hotel,2,1.0,positive
Mevsim Apart,2,1.0,positive
Mevsim Apart - Akyaka Apart,0,1.0,positive
Mevsim Apart - Akyaka Apart,1,1.0,positive
Mevsim Apart - Akyaka Apart,2,1.0,positive
Mevsim Otel - Akyaka Otel,0,1.0,positive
Mevsim Otel - Akyaka Otel,1,1.0,positive
Mevsim Otel - Akyaka Otel,2,1.0,positive
Mimoza Pansiyon,0,1.0,positive
Mimoza Pansiyon,1,1.0,positive
Mimoza Pansiyon,2,1.0,positive
Mira Apart,2,1.0,positive
Mosso Boutique Hotel,0,1.0,positive
Mosso Boutique Hotel,1,1.0,positive
Mosso Boutique Hotel,2,1.0,positive
Moğla Taşhan otel,0,1.0,positive
Moğla Taşhan otel,1,1.0,positive
Moğla Taşhan otel,2,1.0,positive
Muğla Hotel,0,1.0,positive
Muğla Hotel,1,1.0,positive
Muğla Hotel,2,1.0,positive
Nehir Apart Otel,0,1.0,positive
Nehir Apart Otel,1,1.0,positive
Nehir Apart Otel,2,1.0,positive
Nehir Butik Otel,0,1.0,positive
Nehir Butik Otel,1,1.0,positive
Nehir Butik Otel,2,1.0,positive
No22 Riders'Inn,0,1.0,positive
No22 Riders'Inn,1,1.0,positive
No22 Riders'Inn,2,1.0,positive
Nova Aparts Otel,0,1.0,positive
Nova Aparts Otel,1,1.0,positive
Nova Aparts Otel,2,1.0,positive
NİL HOTEL,0,1.0,positive
NİL HOTEL,1,1.0,positive
NİL HOTEL,2,1.0,positive
Orkide Apart Hotel,0,1.0,positive
Orkide Apart Hotel,1,1.0,positive
Orkide Apart Hotel,2,1.0,positive
Otel Arın,0,1.0,positive
Otel Arın,1,1.0,positive
Otel Arın,2,1.0,positive
PORTOFİNO APART ŞUBE,2,1.0,positive
Padok Premium Hotel & Stables,0,1.0,positive
Padok Premium Hotel & Stables,1,1.0,positive
Padok Premium Hotel & Stables,2,1.0,positive
Palmiye Apart Otel,0,1.0,positive
Palmiye Apart Otel,2,1.0,positive
Panamara Otel,0,1.0,positive
Panamara Otel,1,1.0,positive
Panamara Otel,2,1.0,positive
Panamare Apart & Hotel Akyaka,0,1.0,positive
Panamare Apart & Hotel Akyaka,1,1.0,positive
Panamare Apart & Hotel Akyaka,2,1.0,positive
Petek Hotel,0,1.0,positive
Petek Hotel,1,1.0,positive
Petek Hotel,2,1.0,positive
Raymar Hotels Muğla,0,1.0,positive
Raymar Hotels Muğla,2,1.0,positive
Renklice Apart Evler,0,1.0,positive
Renklice Apart Evler,2,1.0,positive
Santo Akyaka Home,0,1.0,positive
Santo Akyaka Home,1,1.0,positive
Santo Akyaka Home,2,1.0,positive
Server Apart Hotel,0,1.0,positive
Server Apart Hotel,1,1.0,positive
Server Apart Hotel,2,1.0,positive
Sezgin Apart,1,1.0,positive
Shimal Residences & Hotel,0,1.0,positive
Shimal Residences & Hotel,2,1.0,positive
Su Apart Otel Akyaka,0,1.0,positive
Su Apart Otel Akyaka,1,1.0,positive
Su Apart Otel Akyaka,2,1.0,positive
Summer Otel,0,1.0,positive
Summer Otel,1,1.0,positive
Summer Otel,2,1.0,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,0,1.0,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,1,1.0,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,2,1.0,positive
Teras Tepe Apart,1,1.0,positive
Teras Tepe Apart,2,1.0,positive
Totelya Hotel,0,1.0,positive
Totelya Hotel,1,1.0,positive
Totelya Hotel,2,1.0,positive
Tuna Otel,0,1.0,positive
Tuna Otel,1,1.0,positive
Tuna Otel,2,1.0,positive
Tuna Otel Rezidans,0,1.0,positive
Tuna Otel Rezidans,1,1.0,positive
Tuna Otel Rezidans,2,1.0,positive
Tuncer Otel,0,1.0,positive
Tuncer Otel,1,1.0,positive
Tuncer Otel,2,1.0,positive
Ugur Apart Hotel,0,1.0,positive
Ugur Apart Hotel,1,1.0,positive
Ugur Apart Hotel,2,1.0,positive
Uğurevler Apart,0,1.0,positive
Uğurevler Apart,1,1.0,positive
Uğurevler Apart,2,1.0,positive
Verde Suites Akyaka,0,1.0,positive
Verde Suites Akyaka,1,1.0,positive
Verde Suites Akyaka,2,1.0,positive
XOX Apart Hotel,0,1.0,positive
XOX Apart Hotel,2,1.0,positive
YAKABÜK TİNY HOUSE PANSİYON,2,1.0,positive
Yakabük Otel & Restaurant,0,1.0,positive
Yakabük Otel & Restaurant,1,1.0,positive
Yakabük Otel & Restaurant,2,1.0,positive
Yatu Apart Otel,1,1.0,positive
Yatu Apart Otel,2,1.0,positive
Yelken Hotel Akyaka,0,1.0,positive
Yelken Hotel Akyaka,1,1.0,positive
Yelken Hotel Akyaka,2,1.0,positive
Yener Apart,0,1.0,positive
Yener Apart,1,1.0,positive
Yener Apart,2,1.0,positive
Yeni sıtar apart,0,1.0,positive
Yeni sıtar apart,1,1.0,positive
Yeni sıtar apart,2,1.0,positive
Yenice Vadi,0,1.0,positive
Yenice Vadi,1,1.0,positive
Yenice Vadi,2,1.0,positive
Yücelen Otel Akyaka,0,1.0,positive
Yücelen Otel Akyaka,1,1.0,positive
Yücelen Otel Akyaka,2,1.0,positive
belgin pansiyon,0,1.0,positive
belgin pansiyon,1,1.0,positive
belgin pansiyon,2,1.0,positive
portofino apart,0,1.0,positive
portofino apart,1,1.0,positive
portofino apart,2,1.0,positive
villa vali Akyaka Apart,0,1.0,positive
villa vali Akyaka Apart,1,1.0,positive
villa vali Akyaka Apart,2,1.0,positive
ÇALCALAR OTEL,0,1.0,positive
ÇALCALAR OTEL,1,1.0,positive
ÇALCALAR OTEL,2,1.0,positive
İNCİLİ PANSİYON-OTEL-APART,0,1.0,positive
İNCİLİ PANSİYON-OTEL-APART,1,1.0,positive
İNCİLİ PANSİYON-OTEL-APART,2,1.0,positive
İnci Apart,0,1.0,positive
İnci Apart,1,1.0,positive
İnci Apart,2,1.0,positive
İskelem Butik Otel,0,1.0,positive
İskelem Butik Otel,1,1.0,positive
İskelem Butik Otel,2,1.0,positive
İzethan Hotel,0,1.0,positive
İzethan Hotel,1,1.0,positive
İzethan Hotel,2,1.0,positive
